Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",4.000000,59.000000,0.000000,top
"C2","10u","C_0603_1608Metric",29.750000,65.500000,-90.000000,top
"C3","22u","C_0805_2012Metric",33.500000,60.000000,-90.000000,top
"C4","22u","C_0805_2012Metric",31.500000,60.000000,-90.000000,top
"C5","22u","C_0805_2012Metric",29.500000,60.000000,-90.000000,top
"C6","10u","C_0603_1608Metric",19.750000,60.075000,90.000000,top
"C7","10u","C_0603_1608Metric",32.750000,65.500000,90.000000,top
"C8","10u","C_0603_1608Metric",20.500000,62.325000,180.000000,top
"D1","D_Small","D_0805_2012Metric",12.250000,6.900000,90.000000,top
"D2","100%","LED_0805_2012Metric",16.950000,70.500000,90.000000,top
"D3","75%","LED_0805_2012Metric",19.000000,70.500000,-90.000000,top
"D4","50%","LED_0805_2012Metric",21.050000,70.500000,90.000000,top
"D5","25%","LED_0805_2012Metric",23.100000,70.500000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",10.000000,5.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",25.000000,46.500000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",40.000000,5.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",30.000000,69.750000,180.000000,top
"J2","BATT+","Bonded_Pad",12.500000,67.000000,90.000000,top
"J3","1","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",5.000000,42.500000,90.000000,top
"J4","2","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",5.000000,32.500000,90.000000,top
"J5","3","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",5.000000,22.500000,90.000000,top
"J6","4","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",5.000000,12.500000,90.000000,top
"J7","5","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",45.000000,17.580000,-90.000000,top
"J8","6","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",45.000000,27.580000,-90.000000,top
"J9","7","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",45.000000,37.580000,-90.000000,top
"J10","8","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",45.000000,47.580000,-90.000000,top
"J11","BATT-","Bonded_Pad",37.500000,67.000000,90.000000,top
"L1","1u","LQH44PH1R0MPRL",25.000000,57.250000,180.000000,top
"Q1","DMP3099L","SOT-23",39.937500,55.500000,180.000000,top
"R2","2r","R_0603_1608Metric",31.250000,65.500000,-90.000000,top
"R3","2r","R_0603_1608Metric",21.250000,60.075000,90.000000,top
"R4","100k","R_0603_1608Metric",42.750000,55.500000,90.000000,top
"SW1","PWR","SK12D07VG5",47.000000,55.500000,90.000000,top
"U1","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",7.750000,54.500000,90.000000,top
"U2","RPi Pico","RPi_Pico_SMD_TH",25.000000,27.500000,180.000000,top
"U3","IP5306","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",25.000000,63.400000,-90.000000,top
